name,releasedate,popularity_spot,popularity,winrate,banrate,averageKDA,pentas/match,attack,defense,magic,difficulty,rangetype,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,attackdamage,attackdamageperlevel,attackspeed,attackspeedperlevel,spell1_name,spell1_cost,spell1_cooldown,spell2_name,spell2_cost,spell2_cooldown,spell3_name,spell3_cost,spell3_cooldown,ulti_name,ulti_cost,ulti_cooldown,tags,role
Morgana,"Mage,Support",Support,Ranged,Mana,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,56,3.5,1.53,0.625,0.625,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Assassin,Fighter",Middle
Naafiri,"Assassin,Fighter",Middle,Melee,Mana,635,120,400,55.0,340,30,4.7,32,2.05,125,9.0,0.9,7.5,1.0,55,2.1,2.1,0.663,0.625,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Mage",Support
Nami,"Support,Mage",Support,Ranged,Mana,560,88,365,43.0,335,29,5.2,30,1.3,550,5.5,0.55,11.5,0.4,54,3.1,2.61,0.644,0.644,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Top
Nasus,"Fighter,Tank",Top,Melee,Mana,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,67,4.0,3.48,0.638,0.638,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Support",Support
Nautilus,"Tank,Support",Support,Melee,Mana,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,61,3.3,1.0,0.706,0.612,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support","Middle,Support"
Neeko,"Mage,Support","Middle,Support",Ranged,Mana,610,104,450,30.0,340,21,5.2,30,1.3,550,7.5,0.75,7.0,0.7,48,2.5,3.5,0.625,0.67,"Middle,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Assassin,Mage",Jungle
Nidalee,"Assassin,Mage",Jungle,Ranged,Mana,610,109,295,45.0,335,32,5.0,30,1.45,525,6.0,0.6,6.0,0.8,58,3.5,3.22,0.638,0.638,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Bottom
Nilah,"Fighter,Assassin",Bottom,Melee,Mana,570,101,350,35.0,340,27,4.5,32,2.05,225,6.0,0.9,8.2,0.7,58,2.0,3.0,0.697,0.67,Bottom,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Jungle
Nocturne,"Fighter,Assassin",Jungle,Melee,Mana,655,109,275,35.0,345,38,4.7,32,1.55,125,7.0,0.75,7.0,0.45,62,2.6,2.7,0.721,0.721,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Mage",Jungle
Nunu & Willump,"Tank,Mage",Jungle,Melee,Mana,610,90,280,42.0,345,29,4.2,32,2.05,125,5.0,0.8,7.0,0.5,61,3.0,2.25,0.625,0.625,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Top
Olaf,"Fighter,Tank",Top,Melee,Mana,645,119,316,50.0,350,35,4.2,32,2.05,125,6.5,0.6,7.5,0.6,68,4.7,2.7,0.694,0.694,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support",Middle
Orianna,"Mage,Support",Middle,Ranged,Mana,585,110,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,44,2.6,3.5,0.658,0.658,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tank,Top
Ornn,Tank,Top,Melee,Mana,660,109,341,65.0,335,33,5.2,32,2.05,175,9.0,0.9,8.0,0.6,69,3.5,2.0,0.625,0.625,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin","Top,Support,Jungle,Middle"
Pantheon,"Fighter,Assassin","Top,Support,Jungle,Middle",Melee,Mana,650,109,317,31.0,345,40,4.95,28,2.05,175,6.0,0.65,7.35,0.45,64,3.3,2.95,0.658,0.658,"Top,Support,Jungle,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Fighter","Top,Jungle"
Poppy,"Tank,Fighter","Top,Jungle",Melee,Mana,610,104,280,40.0,345,38,4.7,32,2.05,125,8.0,0.8,7.0,0.7,64,4.0,2.5,0.625,0.625,"Top,Jungle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Assassin",Support
Pyke,"Support,Assassin",Support,Melee,Mana,670,110,415,50.0,330,47,4.7,32,2.05,150,7.0,0.5,8.0,1.0,62,2.0,2.5,0.667,0.667,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Assassin,Middle
Qiyana,Assassin,Middle,Melee,Mana,590,124,375,60.0,335,28,4.7,32,2.05,150,6.0,0.9,8.0,0.7,66,3.1,2.1,0.688,0.625,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Assassin",Top
Quinn,"Marksman,Assassin",Top,Ranged,Mana,565,107,269,35.0,330,28,4.7,30,1.3,525,5.5,0.55,7.0,0.4,59,2.7,3.1,0.668,0.668,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Support,Support
Rakan,Support,Support,Melee,Mana,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,62,3.5,3.0,0.635,0.635,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tank,Jungle
Rammus,Tank,Jungle,Melee,Mana,675,94,310,33.0,335,40,5.5,32,2.05,125,8.0,0.55,7.85,0.5,55,2.75,2.215,0.656,0.625,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Jungle
Rek'Sai,"Fighter,Tank",Jungle,Melee,Rage,600,99,100,0.0,340,36,4.95,32,2.05,175,2.5,0.5,0.0,0.0,58,3.0,2.0,0.667,0.667,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Support",Support
Rell,"Tank,Support",Support,Melee,Mana,610,104,350,45.0,330,36,4.2,30,2.05,175,7.5,0.85,6.0,0.35,55,3.0,1.5,0.625,0.625,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Mage",Support
Renata Glasc,"Support,Mage",Support,Ranged,Mana,545,94,350,50.0,330,27,4.7,30,1.3,550,5.5,0.55,11.5,0.5,49,3.0,2.11,0.625,0.625,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Top
Renekton,"Fighter,Tank",Top,Melee,Fury,660,111,100,0.0,345,35,5.2,28,2.05,125,8.0,0.75,0.0,0.0,69,4.15,2.75,0.665,0.665,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Assassin,Fighter","Jungle,Top"
Rengar,"Assassin,Fighter","Jungle,Top",Melee,Ferocity,590,104,4,0.0,345,34,4.2,32,2.05,125,6.0,0.5,0.0,0.0,68,3.0,3.0,0.667,0.667,"Jungle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Top
Riven,"Fighter,Assassin",Top,Melee,,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,64,3.0,3.5,0.625,0.625,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Mage","Top,Middle"
Rumble,"Fighter,Mage","Top,Middle",Melee,Heat,625,105,150,0.0,345,36,4.7,28,1.55,125,7.0,0.6,0.0,0.0,64,3.2,1.85,0.644,0.644,"Top,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mage,Middle
Ryze,Mage,Middle,Ranged,Mana,645,124,300,70.0,340,22,4.2,32,1.3,550,8.0,0.8,8.0,1.0,58,3.0,2.11,0.658,0.625,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Assassin",Bottom
Samira,"Marksman,Assassin",Bottom,Ranged,Mana,630,108,349,38.0,335,26,4.7,30,1.3,500,3.25,0.55,8.2,0.7,57,3.0,3.3,0.658,0.658,Bottom,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tank,Jungle
Sejuani,Tank,Jungle,Melee,Mana,630,114,400,40.0,340,34,5.45,32,2.05,150,8.5,1.0,7.0,0.7,66,4.0,3.5,0.688,0.625,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Marksman","Bottom,Support"
Senna,"Support,Marksman","Bottom,Support",Ranged,Mana,530,89,350,45.0,330,28,4.7,30,1.3,600,3.5,0.55,11.5,0.7,50,0.0,4.0,0.625,0.4,"Bottom,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Mage","Bottom,Support"
Seraphine,"Support,Mage","Bottom,Support",Ranged,Mana,570,90,360,25.0,330,26,4.2,30,1.3,525,6.5,0.6,11.5,0.95,50,3.0,2.0,0.669,0.625,"Bottom,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Top
Sett,"Fighter,Tank",Top,Melee,Grit,670,114,0,0.0,340,33,5.2,28,2.05,125,7.0,0.5,0.0,0.0,60,4.0,1.75,0.625,0.625,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Assassin,"Jungle,Support"
Shaco,Assassin,"Jungle,Support",Melee,Mana,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,6.0,0.35,63,3.0,3.0,0.694,0.694,"Jungle,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tank,"Top,Support"
Shen,Tank,"Top,Support",Melee,Energy,610,99,400,0.0,340,34,4.2,32,2.05,125,8.5,0.75,50.0,0.0,64,3.0,3.0,0.751,0.651,"Top,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Mage",Jungle
Shyvana,"Fighter,Mage",Jungle,Melee,Fury,665,104,100,0.0,350,38,4.55,32,2.05,125,8.5,0.8,0.0,0.0,66,3.0,2.5,0.658,0.658,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Mage",Top
Singed,"Tank,Mage",Top,Melee,Mana,650,99,330,45.0,345,34,4.7,32,2.05,125,9.5,0.55,7.5,0.55,63,3.4,1.9,0.625,0.625,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Fighter",Top
Sion,"Tank,Fighter",Top,Melee,Mana,655,87,400,52.0,345,32,4.2,32,2.05,175,7.5,0.8,8.0,0.6,68,4.0,1.3,0.679,0.679,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marksman,Bottom
Sivir,Marksman,Bottom,Ranged,Mana,600,104,340,45.0,335,30,4.45,30,1.3,500,3.25,0.55,6.0,0.8,58,2.5,2.0,0.625,0.625,Bottom,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Fighter","Jungle,Top"
Skarner,"Tank,Fighter","Jungle,Top",Melee,Mana,610,105,320,40.0,335,33,4.8,32,2.05,150,7.5,0.75,7.2,0.75,60,3.0,2.0,0.625,0.625,"Jungle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Mage","Bottom,Top,Middle"
Smolder,"Marksman,Mage","Bottom,Top,Middle",Ranged,Mana,605,100,300,40.0,330,26,4.7,30,1.3,550,4.5,0.6,8.5,0.7,60,2.3,4.0,0.638,0.638,"Bottom,Top,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Mage",Support
Sona,"Support,Mage",Support,Ranged,Mana,550,91,340,45.0,325,26,4.2,30,1.3,550,5.5,0.55,11.5,0.4,49,3.0,2.3,0.644,0.644,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Mage",Support
Soraka,"Support,Mage",Support,Ranged,Mana,605,88,425,40.0,325,32,5.0,30,1.3,550,2.5,0.5,11.5,0.4,50,3.0,2.14,0.625,0.625,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support","Support,Middle"
Swain,"Mage,Support","Support,Middle",Ranged,Mana,595,99,468,29.0,330,26,5.2,30,1.3,525,7.0,0.65,8.0,0.8,58,2.7,2.11,0.625,0.625,"Support,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Assassin","Middle,Top"
Sylas,"Mage,Assassin","Middle,Top",Melee,Mana,575,129,400,70.0,340,27,5.2,32,2.55,175,9.0,0.9,8.0,0.8,61,3.0,3.5,0.645,0.645,"Middle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mage,Middle
Syndra,Mage,Middle,Ranged,Mana,563,104,480,40.0,330,25,4.6,30,1.3,550,6.5,0.6,8.0,0.8,54,2.9,2.0,0.658,0.625,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tank,Support","Top,Support"
Tahm Kench,"Tank,Support","Top,Support",Melee,Mana,640,103,325,50.0,335,42,4.7,32,2.05,175,6.5,0.55,8.0,1.0,56,3.2,2.5,0.658,0.658,"Top,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support","Jungle,Middle"
Taliyah,"Mage,Support","Jungle,Middle",Ranged,Mana,550,104,470,30.0,330,18,4.7,30,1.3,525,6.5,0.65,8.0,0.8,58,3.3,1.36,0.658,0.625,"Jungle,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Assassin,"Middle,Jungle"
Talon,Assassin,"Middle,Jungle",Melee,Mana,658,109,400,37.0,335,30,4.7,39,2.05,125,8.5,0.75,7.6,0.8,68,3.1,2.9,0.625,0.625,"Middle,Jungle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Tank","Support,Middle"
Taric,"Support,Tank","Support,Middle",Melee,Mana,645,99,300,60.0,340,40,4.3,28,2.05,150,6.0,0.5,8.5,0.8,55,3.5,2.0,0.625,0.625,"Support,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Mage","Top,Jungle,Support"
Teemo,"Marksman,Mage","Top,Jungle,Support",Ranged,Mana,598,104,334,25.0,330,24,4.95,30,1.3,500,5.5,0.65,9.6,0.45,54,3.0,3.38,0.69,0.69,"Top,Jungle,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Support,Tank",Support
Thresh,"Support,Tank",Support,Ranged,Mana,600,120,274,44.0,330,33,0.0,30,1.55,450,7.0,0.55,6.0,0.8,56,2.2,3.5,0.625,0.625,Support,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Assassin","Bottom,Middle"
Tristana,"Marksman,Assassin","Bottom,Middle",Ranged,Mana,640,102,250,32.0,325,30,4.5,28,1.3,525,4.0,0.65,7.2,0.45,59,3.7,1.5,0.656,0.679,"Bottom,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank","Top,Jungle"
Trundle,"Fighter,Tank","Top,Jungle",Melee,Mana,650,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,68,4.0,2.9,0.67,0.67,"Top,Jungle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Top
Tryndamere,"Fighter,Assassin",Top,Melee,Fury,696,108,100,0.0,345,33,4.3,32,2.05,175,8.5,0.9,0.0,0.0,66,4.0,3.4,0.67,0.67,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Marksman","Middle,Bottom,Top"
Twisted Fate,"Mage,Marksman","Middle,Bottom,Top",Ranged,Mana,604,108,333,39.0,330,21,4.35,30,1.3,525,5.5,0.6,8.0,0.8,52,2.5,2.5,0.625,0.651,"Middle,Bottom,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Assassin","Bottom,Support"
Twitch,"Marksman,Assassin","Bottom,Support",Ranged,Mana,630,104,300,40.0,330,27,4.2,30,1.3,550,3.75,0.6,7.25,0.7,59,3.1,3.38,0.679,0.679,"Bottom,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank","Top,Jungle"
Udyr,"Fighter,Tank","Top,Jungle",Melee,Mana,664,92,271,50.0,350,31,4.7,32,2.05,125,6.0,0.75,7.5,0.45,62,4.0,3.0,0.65,0.65,"Top,Jungle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Top
Urgot,"Fighter,Tank",Top,Ranged,Mana,655,102,340,45.0,330,36,5.0,32,2.05,350,7.5,0.7,7.25,0.8,63,4.0,3.75,0.625,0.625,Top,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Mage",Bottom
Varus,"Marksman,Mage",Bottom,Ranged,Mana,600,105,360,40.0,330,27,4.6,30,1.3,575,3.5,0.55,8.0,0.8,57,3.4,3.5,0.658,0.658,Bottom,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marksman,Assassin","Bottom,Top"
Vayne,"Marksman,Assassin","Bottom,Top",Ranged,Mana,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,60,2.35,3.3,0.658,0.658,"Bottom,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mage,"Middle,Support"
Veigar,Mage,"Middle,Support",Ranged,Mana,580,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,52,2.7,2.24,0.625,0.625,"Middle,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support","Support,Middle"
Vel'Koz,"Mage,Support","Support,Middle",Ranged,Mana,590,102,469,21.0,340,22,4.7,30,1.3,525,5.5,0.55,8.0,0.8,55,3.1416,1.59,0.643,0.625,"Support,Middle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mage,Middle
Vex,Mage,Middle,Ranged,Mana,590,104,490,32.0,335,23,4.45,28,1.3,550,6.5,0.6,6.0,0.8,54,2.75,1.0,0.669,0.625,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Jungle
Vi,"Fighter,Assassin",Jungle,Melee,Mana,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,63,3.0,2.0,0.644,0.644,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin",Jungle
Viego,"Fighter,Assassin",Jungle,Melee,,630,109,0,0.0,345,34,5.2,32,2.05,200,7.0,0.7,0.0,0.0,57,3.5,2.5,0.658,0.658,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mage,Middle
Viktor,Mage,Middle,Ranged,Mana,600,104,405,45.0,335,23,5.2,30,1.3,525,8.0,0.65,8.0,0.8,53,3.0,2.11,0.658,0.658,Middle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Fighter","Middle,Top"
Vladimir,"Mage,Fighter","Middle,Top",Ranged,Crimson Rush,607,110,2,0.0,330,27,4.5,30,1.3,450,7.0,0.6,0.0,0.0,55,3.0,2.0,0.658,0.658,"Middle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank","Top,Jungle"
Volibear,"Fighter,Tank","Top,Jungle",Melee,Mana,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,60,3.5,2.0,0.625,0.7,"Top,Jungle",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank","Jungle,Top"
Warwick,"Fighter,Tank","Jungle,Top",Melee,Mana,620,99,280,35.0,335,33,4.4,32,2.05,125,4.0,0.75,7.45,0.6,65,3.0,2.3,0.638,0.638,"Jungle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank","Jungle,Top"
Wukong,"Fighter,Tank","Jungle,Top",Melee,Mana,610,99,300,65.0,340,31,4.7,28,2.05,175,3.5,0.65,8.0,0.8,66,3.5,3.0,0.69,0.658,"Jungle,Top",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marksman,Bottom
Xayah,Marksman,Bottom,Ranged,Mana,630,107,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,60,3.5,3.9,0.658,0.658,Bottom,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mage,Support","Middle,Support"
Xerath,"Mage,Support","Middle,Support",Ranged,Mana,596,106,400,22.0,340,22,4.7,30,1.3,525,5.5,0.55,6.85,0.8,55,3.0,1.36,0.658,0.625,"Middle,Support",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Tank",Jungle
Xin Zhao,"Fighter,Tank",Jungle,Melee,Mana,640,106,274,55.0,345,35,4.7,32,2.05,175,8.0,0.7,7.25,0.45,63,3.0,3.5,0.645,0.645,Jungle,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin","Top,Middle,Bottom"
Yasuo,"Fighter,Assassin","Top,Middle,Bottom",Melee,Flow,590,110,100,0.0,345,30,4.6,32,2.05,175,6.5,0.9,0.0,0.0,60,3.0,3.5,0.697,0.67,"Top,Middle,Bottom",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fighter,Assassin","Top,Middle"
